Complexity,Loss,Equation
1,3484.452,"154.77321"
3,135.05249,"x0 * 311.7277"
5,106.172646,"(-59.19239 / x0) + 292.2972"
6,48.894085,"(-542.5458 / exp(x0)) + 488.94965"
7,9.636678,"(-180.078 / (x0 - -0.2769569)) + 399.3448"
9,4.112632,"(-31.761362 / x0) - ((x0 * -163.51315) + -146.80412)"
11,4.112629,"(-31.761486 / x0) - (((x0 * -164.51208) + x0) - 146.8049)"
12,4.0992074,"((-31.608152 / x0) + 145.67307) - (x0 * (exp(x0) + -166.84067))"
13,4.0665593,"(((-0.81034535 / x0) + -25.088469) / x0) - ((x0 * -175.94522) - 130.23923)"
14,3.9227185,"((-29.738867 / x0) - ((x0 * -187.58018) - 134.45464)) + (2.4906766 / log(x0))"
16,3.9115045,"((136.75838 - (x0 * (-183.14037 - x0))) + (2.213818 / log(x0))) + (-30.104576 / x0)"
18,3.8474193,"(-31.617308 / x0) + ((((x0 * -85.27747) - -87.84399) / log(x0)) - ((x0 * -233.9218) - 176.6152))"
