Complexity,Loss,Equation
1,3484.4524,"154.76343"
3,135.05249,"x0 * 311.72583"
5,106.17264,"(-59.191643 / x0) + 292.29575"
6,6.0923543,"(log(x0) * 151.48366) - -270.42334"
8,6.060873,"(271.26318 - x0) + (log(x0) * 151.92853)"
9,4.1126266,"((x0 * 163.52217) + 146.79678) - (31.760073 / x0)"
12,4.1121154,"((x0 * 162.36478) + (log(x0) - (31.56426 / x0))) + 147.68387"
13,4.0856504,"(x0 * 166.33545) + (142.74043 - (((0.2303413 / x0) + 29.988503) / x0))"
16,3.3395214,"(156.02731 - ((exp((35.061966 / x0) - 173.96303) + 33.229866) / x0)) + (x0 * 152.94737)"
20,1.4074324,"(((x0 * 166.18907) + 148.95062) / 1.0201726) - ((exp(((x0 + 33.09165) / x0) - 165.51857) + 31.194756) / x0)"
