Complexity,Loss,Equation
1,3484.452,"154.77321"
3,135.05249,"x0 * 311.72583"
5,106.17264,"(-59.192303 / x0) + 292.2969"
6,49.092205,"(-540.9237 / exp(x0)) + 487.5418"
8,48.85066,"((-540.9237 + x0) / exp(x0)) + 487.45096"
9,4.1126304,"(-31.765612 / x0) + ((x0 * 163.49278) + 146.8242)"
11,4.108198,"(-31.688164 / x0) + ((x0 * (164.89223 - x0)) + 146.2253)"
12,4.1069183,"((log(x0) - 29.293047) / x0) + ((x0 * 166.35167) + 141.79955)"
14,3.9148748,"(x0 * 182.6606) + (((2.0404449 / log(x0)) + 137.2074) - (30.20336 / x0))"
16,3.914639,"(((2.1002667 / log(x0)) + ((x0 * 183.33994) + 110.89795)) - (30.137909 / x0)) + 25.91921"
18,3.9136472,"((x0 * (((x0 + x0) / log(x0)) + 178.6769)) + 123.41562) - ((30.268951 / x0) + -13.693716)"
