Complexity,Loss,Equation
1,3484.452,"154.77321"
3,135.05249,"x0 * 311.72583"
5,106.17266,"(-59.19087 / x0) + 292.29303"
6,6.092356,"270.42456 - (log(x0) * -151.48506)"
8,6.011653,"(log(x0) + 1.7829366) * (152.38112 - x0)"
9,5.924015,"(log(x0) + 1.7806082) * (151.54791 - log(x0))"
10,5.1988916,"(log(x0) + 1.746144) * ((4.2520914 / x0) - -149.24623)"
12,5.1589065,"(log(x0) + 1.7446325) * (x0 - ((-4.3743396 / x0) + -148.70973))"
14,4.774523,"(log(log(x0) + 1.6178957) * 1.6817998) - ((log(x0) + 1.7928665) * -150.85799)"
15,3.1402857,"log(log(log(x0) + 1.7851418) + 1.7398555) - ((log(x0) + 1.7851418) * -150.99335)"
17,2.4528122,"(1.7851418 * log(log(log(x0) + 1.777547) + 1.7851418)) - ((log(x0) + 1.7851418) * -150.99335)"
19,2.2939942,"((log(log(log(x0) + 1.777547) + 1.7851418) * 1.7851418) - x0) - ((log(x0) + 1.7851418) * -150.99335)"
20,2.1325893,"((log(log(log(x0) + 1.777547) + 1.7851418) * exp(0.69057363)) - x0) - ((log(x0) + 1.7851418) * -150.99335)"
