Complexity,Loss,Equation
1,3484.4524,"154.76343"
3,135.05249,"x0 * 311.72583"
5,124.070854,"(x0 * 329.4917) - 9.982777"
6,6.092354,"(log(x0) * 151.4833) + 270.42313"
8,5.4203343,"(log(x0 + -0.022538533) * 142.94458) - -271.62827"
10,5.3351994,"(log(x0) * ((1.6270466 / x0) + 143.58516)) - -267.8945"
12,4.016304,"(log(x0) * 149.56235) - ((0.21185625 / (x0 + -0.17919314)) + -269.56638)"
14,3.6326132,"0.43509328 + ((log(x0) * 149.56235) - ((0.21185625 / (x0 + -0.17919314)) + -269.56638))"
15,0.52334785,"(log(x0) * 148.86609) - ((0.27857694 / (log(x0 + x0) + 0.9311485)) + -269.2872)"
18,0.29770848,"(log(x0) * 149.02007) - ((0.2501573 / ((x0 + log(x0)) + (x0 + exp(x0)))) + -269.12076)"
20,0.2968389,"(log(x0) * 149.06226) - (((x0 / ((log(x0) + (exp(x0) + x0)) + x0)) * 1.2602487) + -269.34332)"
