Complexity,Loss,Equation
1,3484.452,"154.77321"
3,135.05249,"x0 * 311.72583"
5,106.17265,"(-59.191246 / x0) - -292.29538"
6,6.092355,"(log(x0) * 151.4808) - -270.42084"
8,6.0608745,"(log(x0) * 151.92833) - (x0 + -271.26303)"
9,6.032404,"(log(x0) * 152.21371) - (exp(x0) + -272.65515)"
10,5.8169928,"((log(x0) * 159.04495) + (x0 * -16.99706)) - -284.69513"
11,4.1138444,"((x0 * ((x0 * 163.76291) - -146.66191)) - 31.74906) / x0"
13,4.112626,"(((x0 * ((x0 * 163.5117) - -146.80547)) - 40.716698) + 8.95507) / x0"
16,4.111285,"(((((x0 * 164.26988) - -128.22852) * x0) - (exp(x0) + 30.750988)) / x0) + 19.48369"
